State,Total_Transactions,Total_amount
andaman-&-nicobar-islands,1622,2769297.904
andaman-&-nicobar-islands,1223,2238041.872
andaman-&-nicobar-islands,969,3519059.938
andaman-&-nicobar-islands,685,1298560.952
andaman-&-nicobar-islands,340,1039715.311
andaman-&-nicobar-islands,302,556059.5309
andaman-&-nicobar-islands,283,445739.1634
andaman-&-nicobar-islands,269,333709.567
andaman-&-nicobar-islands,193,238914.0167
andaman-&-nicobar-islands,168,547469.6509
andaman-&-nicobar-islands,2701,6310089.917
andaman-&-nicobar-islands,1965,4752146.699
andaman-&-nicobar-islands,1525,5810267.575
andaman-&-nicobar-islands,997,2200332.972
andaman-&-nicobar-islands,767,1953749.379
andaman-&-nicobar-islands,659,1650346.191
andaman-&-nicobar-islands,594,1601569.982
andaman-&-nicobar-islands,432,578829.1795
andaman-&-nicobar-islands,405,626523.9803
andaman-&-nicobar-islands,291,1026590.074
andaman-&-nicobar-islands,3462,10833893.44
andaman-&-nicobar-islands,3182,10184154.36
andaman-&-nicobar-islands,2224,10365275.48
andaman-&-nicobar-islands,1613,5152534.08
andaman-&-nicobar-islands,1029,2588077.687
andaman-&-nicobar-islands,975,4256576.35
andaman-&-nicobar-islands,579,1145815.78
andaman-&-nicobar-islands,547,1492405.303
andaman-&-nicobar-islands,417,1976781.92
andaman-&-nicobar-islands,341,2099404.079
andaman-&-nicobar-islands,4674,16392855.28
andaman-&-nicobar-islands,4576,17022520.26
andaman-&-nicobar-islands,3306,17019977.18
andaman-&-nicobar-islands,2513,9935282.832
andaman-&-nicobar-islands,1432,6091757.917
andaman-&-nicobar-islands,1225,3451359.606
andaman-&-nicobar-islands,928,4606293.658
andaman-&-nicobar-islands,759,2208675.044
andaman-&-nicobar-islands,747,1825659.513
andaman-&-nicobar-islands,702,3797054.168
andaman-&-nicobar-islands,5742,19401964.78
andaman-&-nicobar-islands,5156,15501306.23
andaman-&-nicobar-islands,3925,16683547.09
andaman-&-nicobar-islands,3553,11588669.48
andaman-&-nicobar-islands,2833,9141657.22
andaman-&-nicobar-islands,1511,5794838.402
andaman-&-nicobar-islands,1112,3613381.295
andaman-&-nicobar-islands,1029,3592930.298
andaman-&-nicobar-islands,920,4652963.411
andaman-&-nicobar-islands,802,1893718.654
andaman-&-nicobar-islands,6142,15625676.56
andaman-&-nicobar-islands,5847,23751450.07
andaman-&-nicobar-islands,4863,19061125.41
andaman-&-nicobar-islands,4120,18948733.99
andaman-&-nicobar-islands,3500,13418692.2
andaman-&-nicobar-islands,1153,3619993.391
andaman-&-nicobar-islands,1124,2967445.39
andaman-&-nicobar-islands,1047,3168331.992
andaman-&-nicobar-islands,1007,4849284.519
andaman-&-nicobar-islands,763,2928099.608
andaman-&-nicobar-islands,5680,19906337.01
andaman-&-nicobar-islands,5606,18745152.09
andaman-&-nicobar-islands,4786,15754793.35
andaman-&-nicobar-islands,3643,14572605.6
andaman-&-nicobar-islands,3512,11767224
andaman-&-nicobar-islands,1417,3875602.098
andaman-&-nicobar-islands,1402,6195496.622
andaman-&-nicobar-islands,1118,2983697.449
andaman-&-nicobar-islands,914,1988299.76
andaman-&-nicobar-islands,833,2198831.692
andaman-&-nicobar-islands,6633,20626642.7
andaman-&-nicobar-islands,5282,23247752.47
andaman-&-nicobar-islands,4840,19792507.96
andaman-&-nicobar-islands,3528,15302141.17
andaman-&-nicobar-islands,3237,15350444.97
andaman-&-nicobar-islands,1783,5800016.556
andaman-&-nicobar-islands,1596,7908264.722
andaman-&-nicobar-islands,1549,7056478.929
andaman-&-nicobar-islands,886,946768.0636
andaman-&-nicobar-islands,777,3030368.912
andaman-&-nicobar-islands,11793,58229349.02
andaman-&-nicobar-islands,5870,22009443.07
andaman-&-nicobar-islands,4635,16774043.31
andaman-&-nicobar-islands,3820,14517706.12
andaman-&-nicobar-islands,1837,8425387.79
andaman-&-nicobar-islands,1819,6901162.108
andaman-&-nicobar-islands,1794,5037742.396
andaman-&-nicobar-islands,1302,5293130.291
andaman-&-nicobar-islands,1157,1242638.821
andaman-&-nicobar-islands,1043,2990354.445
andaman-&-nicobar-islands,11868,48293323.22
andaman-&-nicobar-islands,10035,26197535.99
andaman-&-nicobar-islands,9341,23203019.86
andaman-&-nicobar-islands,6012,17786750.91
andaman-&-nicobar-islands,3722,8924121.011
andaman-&-nicobar-islands,2555,3980470.685
andaman-&-nicobar-islands,2275,9055232.528
andaman-&-nicobar-islands,2045,3319717.633
andaman-&-nicobar-islands,1847,4459064.907
andaman-&-nicobar-islands,1840,3334591.822
andaman-&-nicobar-islands,24386,100439119.7
andaman-&-nicobar-islands,21272,60332278.69
andaman-&-nicobar-islands,17166,44061506.56
andaman-&-nicobar-islands,13934,43077189.84
andaman-&-nicobar-islands,5779,11975748.71
andaman-&-nicobar-islands,4753,7628018.669
andaman-&-nicobar-islands,3468,7353834.513
andaman-&-nicobar-islands,3422,6067986.696
andaman-&-nicobar-islands,3071,13352610.53
andaman-&-nicobar-islands,2991,7535645.789
andaman-&-nicobar-islands,46884,138264791.5
